frame_idx,time_s,TIPL_present,TIPL_x,TIPL_y,TIPL_w,TIPL_h,TIPL_conf,TIPL_area,TIPR_present,TIPR_x,TIPR_y,TIPR_w,TIPR_h,TIPR_conf,TIPR_area,TIPandCircle_present,TIPandCircle_x,TIPandCircle_y,TIPandCircle_w,TIPandCircle_h,TIPandCircle_conf,TIPandCircle_area,dist_TIPL_TIPR,dist_TIPL_CIRCLE,dist_TIPR_CIRCLE,iou_TIPL_TIPR,mask_iou_TIPL_TIPR,mask_overlap_area_TIPL_TIPR,mask_overlap_frac_TIPL_TIPR,tip_pair_dropped_this_frame,time_since_both_present,TIPL_track_state,TIPR_track_state,dist_TIPL_TIPR_tracked,TIPL_speed,TIPR_speed,TIPandCircle_speed,label_collision,label_near_miss,label_severity,dist_TIPL_TIPR_smooth,dist_TIPL_TIPR_delta,dist_TIPL_TIPR_rollmin_1s,iou_TIPL_TIPR_rollmax_1s,mask_iou_TIPL_TIPR_rollmax_1s,mask_overlap_frac_TIPL_TIPR_rollmax_1s,combined_tip_speed
0,0.0,1,722.9320068359375,426.3126525878906,122.65380859375,200.22845458984375,0.26444610953330994,3415.0,1,1170.446533203125,325.5096740722656,215.917724609375,96.22747802734375,0.9664021134376526,3580.0,0,0.0,0.0,0.0,0.0,0.0,0.0,458.7270340706657,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,458.7270340706657,0.0,0.0,0.0,0,0,0,456.79084582090775,0.0,458.7270340706657,0.0,0.0,0.0,0.0
12,0.196,1,723.5184326171875,413.8219299316406,124.51806640625,173.79913330078125,0.35381826758384705,3470.0,1,1169.861083984375,326.2377014160156,214.126708984375,94.90423583984375,0.965838611125946,3431.0,0,0.0,0.0,0.0,0.0,0.0,0.0,454.85465757114974,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,454.85465757114974,63.696718463968864,4.758854579177796,0.0,0,0,0,455.92760909435447,-0.8632367265532821,454.85465757114974,0.0,0.0,0.0,68.45557304314666
24,0.393,1,723.4495849609375,411.7678527832031,122.746826171875,169.56060791015625,0.3277507722377777,3273.0,1,1169.4544677734375,325.8707275390625,216.013916015625,96.248046875,0.9677359461784363,3501.0,0,0.0,0.0,0.0,0.0,0.0,0.0,454.2011356412481,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,454.2011356412481,10.469162659526562,2.7900807109384305,0.0,0,0,0,454.8863459063186,-1.0412631880358845,454.2011356412481,0.0,0.0,0.0,13.259243370464993
36,0.589,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1171.1527099609375,325.603271484375,214.638671875,95.3304443359375,0.9668720364570618,3319.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1,0.196312799233961,1,0,455.60324450655787,0.0,8.757320023771472,0.0,0,0,0,455.86267231526546,0.9763264089468748,454.2011356412481,0.0,0.0,0.0,8.757320023771472
48,0.785,1,723.4593505859375,426.6836242675781,122.407470703125,200.28411865234375,0.32142505049705505,3402.0,1,1170.058837890625,326.1114807128906,217.23486328125,94.7059326171875,0.9655575156211853,3413.0,0,0.0,0.0,0.0,0.0,0.0,0.0,457.7836367979904,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,457.7836367979904,37.98981711697747,6.14409490189602,0.0,0,0,0,456.03026478100145,0.16759246573599285,454.2011356412481,0.0,0.0,0.0,44.13391201887349
60,0.982,1,723.8950805664062,415.9453125,124.12060546875,177.82568359375,0.38401830196380615,3588.0,1,1169.6566162109375,326.210693359375,216.323486328125,94.529296875,0.9653430581092834,3497.0,0,0.0,0.0,0.0,0.0,0.0,0.0,454.703913038456,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,454.703913038456,54.745021780618096,2.1102902964782633,0.0,0,0,0,456.662499494063,0.632234713061564,454.2011356412481,0.0,0.0,0.0,56.85531207709636
72,1.178,1,723.016357421875,416.0004577636719,122.5880126953125,176.76373291015625,0.3917393684387207,3216.0,1,1171.600830078125,326.1217956542969,218.94580078125,94.64727783203125,0.9644412994384766,3283.0,0,0.0,0.0,0.0,0.0,0.0,0.0,457.49994864574256,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,457.49994864574256,4.484943413265704,9.914000532272697,0.0,0,0,0,458.0344366726237,1.3719371785606995,454.2011356412481,0.0,0.0,0.0,14.3989439455384
84,1.374,1,723.5486450195312,437.9991760253906,122.953125,220.32000732421875,0.3079150915145874,3862.0,1,1171.687255859375,326.0934753417969,214.8984375,94.60272216796875,0.9660571813583374,3312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,461.8994483336725,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,461.8994483336725,112.09231950563856,0.4632787285553451,0.0,0,0,0,461.3122433102166,3.277806637592903,454.703913038456,0.0,0.0,0.0,112.55559823419391
96,1.571,1,722.4465942382812,440.45074462890625,122.3582763671875,228.8663330078125,0.25427672266960144,4173.0,1,1172.408935546875,325.0002136230469,216.1376953125,96.2745361328125,0.9644213318824768,3389.0,0,0.0,0.0,0.0,0.0,0.0,0.0,464.5373329512347,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,464.5373329512347,13.691827843587877,6.672912599022171,0.0,0,0,0,461.56758998234653,0.25534667212991735,454.703913038456,0.0,0.0,0.0,20.36474044261005
108,1.767,1,722.739501953125,422.4167175292969,122.7275390625,191.86798095703125,0.31859713792800903,3601.0,1,1170.5072021484375,324.88824462890625,218.623046875,96.48370361328125,0.9683290123939514,3461.0,0,0.0,0.0,0.0,0.0,0.0,0.0,458.2659886621322,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,458.2659886621322,91.8758517475453,9.704037496155019,0.0,0,0,0,459.9560321366912,-1.6115578456553408,454.703913038456,0.0,0.0,0.0,101.57988924370032
